Rating,Ave_Salary,Founded_Years,City,State,Max_Company_Size,Highest_Revenue,Max_USD_Revenue,Python_knowledge,MatLab_knowledge,PowerBI_knowledge,SQL_knowledge,ETL_knowledge,Math_knowledge,Work_Remote,GitHub_works,DataB_knowledge,Jobs
3.7,105.0,10.0,Denver,CO,500.0,1,1.0,1,0,0,1,0,0,0,0,0,1
4.2,87.0,0.0,Riverton,UT,10000.0,1,1.0,0,0,0,0,1,0,0,0,0,1
4.3,103.5,8.0,San Francisco,CA,200.0,1,1.0,0,0,0,1,0,0,0,0,0,1
2.6,124.0,37.0,Pittsburgh,PA,1000.0,1,1.0,1,0,0,0,0,0,0,0,1,1
3.8,67.0,56.0,Richland,WA,5000.0,1,1000000000.0,1,0,0,0,0,0,0,0,0,1
3.9,87.0,21.0,Washington,DC,10000.0,5,5000000000.0,0,0,0,0,0,1,0,0,1,1
4.3,137.5,10.0,Chicago,IL,500.0,1,1.0,1,0,0,0,0,0,0,0,0,1
3.8,100.0,34.0,Cincinnati,OH,500.0,500,500000000.0,1,0,1,1,0,0,0,0,1,1
3.8,106.5,76.0,Chattanooga,TN,10000.0,10,10000000000.0,0,0,0,1,0,1,0,0,1,1
3.8,98.5,56.0,Richland,WA,5000.0,1,1000000000.0,0,0,0,0,0,1,0,0,0,1
4.8,61.0,11.0,Clearwater,FL,1000.0,500,500000000.0,1,0,0,1,0,1,0,0,1,1
4.4,106.5,13.0,Indianapolis,IN,200.0,1,1.0,1,0,0,1,0,0,0,0,1,1
3.9,84.5,16.0,Cambridge,MA,200.0,1,1.0,1,0,0,1,1,0,0,0,1,1
3.4,109.5,21.0,Ewing,NJ,5000.0,5,5000000000.0,1,0,1,0,0,0,0,0,0,1
3.6,164.0,21.0,Boston,MA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,1,1
3.9,169.0,45.0,South San Francisco,CA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,0,1
3.8,142.0,25.0,Cupertino,CA,10000.0,5,5000000000.0,1,0,0,0,0,1,0,0,0,1
3.7,76.5,21.0,Boston,MA,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,0,1
3.8,107.0,40.0,Frederick,MD,1000.0,1,1000000000.0,1,0,0,1,0,1,0,0,1,1
3.5,171.5,51.0,San Jose,CA,10000.0,10,10000000000.0,1,0,0,1,0,0,0,0,1,1
3.9,96.0,8.0,Dallas,TX,500.0,1,1.0,0,0,0,0,0,1,0,0,0,1
4.2,142.5,11.0,San Francisco,CA,200.0,1,1.0,0,0,0,1,0,1,0,0,0,1
4.2,107.0,0.0,Riverton,UT,10000.0,1,1.0,0,0,0,0,1,0,1,0,0,1
3.5,145.0,11.0,Marlborough,MA,5000.0,2,2000000000.0,1,1,0,0,0,0,0,0,0,1
2.9,61.5,28.0,Herndon,VA,500.0,50,50000000.0,1,0,1,1,0,1,0,0,1,1
3.6,17.0,4.0,West Reading,PA,10000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
2.7,120.0,70.0,Madison,WI,200.0,100,100000000.0,1,0,1,1,1,0,0,0,0,1
4.4,62.0,8.0,Cambridge,MA,500.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
4.0,150.5,39.0,San Francisco,CA,10000.0,5,5000000000.0,1,1,0,1,0,1,0,0,1,1
4.3,87.5,54.0,Dearborn,MI,500.0,1,1.0,0,0,0,1,0,1,0,0,0,1
4.2,71.5,15.0,Winter Park,FL,200.0,50,50000000.0,1,0,0,1,0,0,0,1,1,1
3.6,51.5,15.0,San Rafael,CA,200.0,500,500000000.0,0,0,0,0,0,1,0,0,1,1
3.7,151.5,21.0,San Diego,CA,10000.0,10,10000000000.0,0,1,0,0,0,0,0,0,0,1
2.8,77.5,7.0,Hamilton,NJ,500.0,1,1.0,1,0,0,1,0,0,0,0,0,1
3.7,140.0,21.0,Boston,MA,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,0,1
3.3,98.5,39.0,Woodbridge,NJ,5000.0,25,25000000.0,0,0,0,1,0,1,0,0,1,1
0.0,225.0,4.0,San Francisco,CA,200.0,10,10000000.0,1,1,0,0,0,1,0,0,0,1
3.6,21.0,86.0,Lewes,DE,5000.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
3.7,161.5,21.0,Boston,MA,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,0,1
3.4,147.0,73.0,New York,NY,5000.0,2,2000000000.0,1,0,0,1,0,1,0,0,1,1
4.1,61.0,60.0,Springfield,MO,1000.0,2,2000000000.0,0,0,0,1,0,1,0,0,1,1
2.6,120.0,37.0,Pittsburgh,PA,1000.0,1,1.0,1,1,0,0,0,1,0,0,0,1
3.2,124.5,13.0,Phoenix,AZ,5000.0,1,1000000000.0,1,0,0,1,0,1,0,0,0,1
3.9,148.0,12.0,Burbank,CA,200.0,100,100000000.0,1,0,0,0,0,0,0,0,0,1
4.7,59.0,25.0,Huntsville,AL,200.0,50,50000000.0,1,1,0,0,0,1,0,0,0,1
3.7,146.5,21.0,Worcester,MA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,1,1
2.9,91.5,0.0,Newton,MA,500.0,1,1.0,0,0,0,0,0,0,0,0,1,1
3.0,133.0,6.0,Chicago,IL,1000.0,1,1.0,1,0,0,1,0,1,0,0,0,1
4.7,140.5,8.0,Salt Lake City,UT,200.0,5,5000000.0,1,0,0,0,0,0,0,0,0,1
3.7,70.5,0.0,Lafayette,LA,1000.0,1,1.0,0,0,0,1,0,0,0,0,1,1
3.3,84.5,7.0,Rochester,NY,10000.0,1,1000000000.0,0,0,0,0,0,0,0,0,0,1
4.0,93.5,19.0,Annapolis Junction,MD,200.0,10,10000000.0,0,0,0,0,0,1,0,0,1,1
4.4,134.5,8.0,Cambridge,MA,500.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
3.9,181.0,14.0,San Francisco,CA,500.0,25,25000000.0,1,0,0,1,0,0,0,0,0,1
3.3,84.5,7.0,Rochester,NY,10000.0,1,1000000000.0,0,0,0,0,0,0,0,0,0,1
4.1,205.0,11.0,Mountain View,CA,200.0,100,100000000.0,1,0,0,1,1,0,0,0,1,1
3.6,48.5,35.0,Highland,CA,5000.0,500,500000000.0,0,0,0,1,0,1,0,0,1,1
4.0,18.0,44.0,Burleson,TX,5000.0,100,100000000.0,0,0,0,0,0,0,0,0,1,1
2.4,52.5,0.0,Hoopeston,IL,1000.0,500,500000000.0,0,0,0,0,0,0,0,0,1,1
2.6,124.0,37.0,Pittsburgh,PA,1000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
3.5,64.0,25.0,Scotts Valley,CA,1000.0,1,1000000000.0,0,0,0,1,0,0,0,0,1,1
3.0,98.0,63.0,Knoxville,TN,10000.0,10,10000000000.0,1,0,0,1,1,0,0,1,1,1
3.6,21.0,86.0,Millville,DE,5000.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
3.3,54.0,57.0,Milwaukee,WI,1000.0,1,1.0,0,0,0,0,0,1,0,0,0,1
2.7,81.0,60.0,Rockville,MD,500.0,50,50000000.0,0,0,0,0,0,0,0,0,0,1
3.4,107.5,16.0,Chicago,IL,5000.0,5,5000000000.0,0,0,0,1,0,0,0,0,1,1
3.8,112.5,26.0,Chicago,IL,1000.0,1,1.0,1,0,0,1,0,0,0,1,1,1
3.7,89.0,26.0,Herndon,VA,10000.0,10,10000000000.0,1,0,0,1,1,1,0,0,0,1
4.8,100.5,96.0,Sheboygan,WI,5000.0,2,2000000000.0,0,0,0,0,0,1,0,0,1,1
3.8,65.0,19.0,New York,NY,5000.0,5,5000000000.0,0,0,1,1,0,1,0,0,0,1
3.4,15.0,91.0,New Orleans,LA,10000.0,1,1.0,0,0,0,0,0,1,0,0,1,1
4.3,72.5,22.0,Dallas,TX,500.0,1,1.0,1,0,1,1,0,1,0,0,1,1
4.8,61.0,11.0,Clearwater,FL,1000.0,500,500000000.0,1,0,0,1,0,1,0,0,1,1
3.4,109.5,21.0,Ewing,NJ,5000.0,5,5000000000.0,1,0,1,0,0,0,0,0,0,1
3.9,84.5,16.0,Cambridge,MA,200.0,1,1.0,1,0,0,1,1,0,0,0,1,1
3.4,87.5,29.0,Chicago,IL,200.0,25,25000000.0,0,0,0,1,0,1,0,0,1,1
3.1,92.5,24.0,San Mateo,CA,5000.0,10,10000000000.0,1,0,0,1,0,1,0,0,1,1
3.2,81.5,63.0,McLean,VA,10000.0,2,2000000000.0,1,0,0,0,0,0,0,0,1,1
4.3,79.0,40.0,Dayton,OH,5000.0,1,1.0,0,0,0,1,1,0,0,0,1,1
3.6,164.0,21.0,Boston,MA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,1,1
3.9,169.0,45.0,South San Francisco,CA,10000.0,10,10000000000.0,1,0,0,1,0,1,0,0,0,1
3.8,142.0,25.0,Cupertino,CA,10000.0,5,5000000000.0,1,0,0,0,0,1,0,0,0,1
2.8,47.5,0.0,Parlier,CA,1000.0,100,100000000.0,0,0,0,0,0,1,0,0,1,1
3.7,76.5,21.0,Boston,MA,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,0,1
3.4,69.0,8.0,San Francisco,CA,200.0,1,1.0,1,0,1,1,0,1,0,0,0,1
4.0,49.0,37.0,Meridian,ID,500.0,100,100000000.0,1,0,0,1,0,1,0,0,1,1
3.5,171.5,51.0,San Jose,CA,10000.0,10,10000000000.0,1,0,0,1,0,0,0,0,1,1
3.8,107.0,40.0,Frederick,MD,1000.0,1,1000000000.0,1,0,0,1,0,1,0,0,1,1
3.7,59.0,25.0,Cherry Hill,NJ,500.0,1,1.0,0,0,0,0,0,0,0,0,0,1
3.5,88.5,2.0,Indianapolis,IN,500.0,50,50000000.0,0,0,0,0,0,0,1,1,1,1
4.2,107.0,0.0,Riverton,UT,10000.0,1,1.0,0,0,0,0,1,0,1,0,0,1
4.0,86.5,21.0,Cambridge,MA,10000.0,10,10000000000.0,1,1,0,0,0,0,0,0,0,1
4.3,84.0,86.0,Louisville,KY,200.0,25,25000000.0,1,0,0,1,0,1,0,0,0,1
4.7,114.5,29.0,New York,NY,500.0,100,100000000.0,1,0,0,1,0,1,0,0,1,1
3.5,145.0,11.0,Marlborough,MA,5000.0,2,2000000000.0,1,1,0,0,0,0,0,0,0,1
4.4,88.0,15.0,Nashville,TN,5000.0,500,500000000.0,1,0,0,1,1,1,0,0,1,1
4.1,100.0,20.0,Chicago,IL,1000.0,500,500000000.0,1,0,0,1,0,0,0,0,1,1
2.9,61.5,28.0,Herndon,VA,500.0,50,50000000.0,1,0,1,1,0,1,0,0,1,1
2.5,96.5,22.0,Portland,OR,5000.0,2,2000000000.0,1,0,0,1,0,1,0,0,0,1
4.2,76.0,29.0,Minneapolis,MN,500.0,1,1.0,1,0,0,1,0,1,0,0,0,1
3.9,15.5,55.0,Port Washington,NY,5000.0,500,500000000.0,0,0,0,0,0,1,0,1,0,1
4.3,83.5,11.0,Austin,TX,50.0,1,1.0,1,0,0,1,0,1,0,0,0,1
2.7,120.0,70.0,Madison,WI,200.0,100,100000000.0,1,0,1,1,1,0,0,0,0,1
3.9,163.0,45.0,South San Francisco,CA,10000.0,10,10000000000.0,0,0,0,1,0,0,0,0,1,1
3.4,100.0,82.0,Providence,RI,1000.0,1,1.0,0,0,0,1,0,1,0,0,1,1
3.8,52.5,104.0,Omaha,NE,5000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
3.6,17.0,4.0,West Reading,PA,10000.0,1,1.0,0,0,0,0,0,0,0,0,0,1
3.3,50.0,21.0,Washington,DC,1000.0,1,1.0,0,0,1,1,0,0,0,0,1,1
3.4,93.0,15.0,Austin,TX,500.0,100,100000000.0,1,0,1,1,1,0,0,1,1,1
3.0,94.5,21.0,Cincinnati,OH,5000.0,5,5000000000.0,1,0,0,1,0,1,0,0,1,1
4.0,150.5,39.0,San Francisco,CA,10000.0,5,5000000000.0,1,1,0,1,0,1,0,0,1,1
3.7,102.0,17.0,Raleigh,NC,5000.0,10,10000000000.0,1,0,0,1,1,0,0,0,1,1
4.4,62.0,8.0,Cambridge,MA,500.0,500,500000000.0,0,0,0,0,0,0,0,0,0,1
4.3,87.5,54.0,Dearborn,MI,500.0,1,1.0,0,0,0,1,0,1,0,0,0,1
4.0,84.0,21.0,Groton,CT,10000.0,10,10000000000.0,0,0,0,0,0,0,0,0,1,1
4.0,143.0,9.0,Herndon,VA,1000.0,500,500000000.0,1,0,0,0,0,0,0,0,0,1
